type,layer,block,x,y
INSERT,WINDOW,$DorLib2D$00000222,-5565720.952645626,-9896336.333378279
INSERT,WINDOW,$DorLib2D$00000228,-5566495.795446424,-9901075.084377621
INSERT,WINDOW,$DorLib2D$00000228,-5566398.683716694,-9902471.712213493
INSERT,WINDOW,$DorLib2D$00000228,-5565809.076786011,-9910951.238359881
INSERT,WINDOW,$DorLib2D$00000228,-5565254.152616299,-9918931.968850628
INSERT,WINDOW,$DorLib2D$00000222,-5563759.679919583,-9924542.690020537
INSERT,WINDOW,$DorLib2D$00000228,-5576952.898974386,-9704400.924562055
INSERT,WINDOW,$DorLib2D$00000228,-5576853.132238106,-9705796.98199068
INSERT,WINDOW,$DorLib2D$00000228,-5577059.82110244,-9702904.740195664
INSERT,WINDOW,$DorLib2D$00000228,-5564898.708053142,-9924019.570530258
INSERT,WINDOW,$DorLib2D$00000228,-5575450.111015111,-9816241.871190511
INSERT,WINDOW,$DorLib2D$00000228,-5540313.08048244,-9833577.064768714
INSERT,WINDOW,$DorLib2D$00000222,-5555591.576798579,-9664936.010255143
INSERT,WINDOW,$DorLib2D$00000231,-5554553.973937195,-9682062.149085188
INSERT,WINDOW,$DorLib2D$00000228,-5540229.326936621,-9827175.106414278
INSERT,WINDOW,$DorLib2D$00000228,-5552677.839588642,-9683012.043141582
INSERT,WINDOW,$DorLib2D$00000228,-5553896.120474681,-9910724.349103819
INSERT,WINDOW,$DorLib2D$00000228,-5549890.779801519,-9900521.94933609
INSERT,WINDOW,$DorLib2D$00000228,-5550073.340410762,-9897896.424805789
INSERT,WINDOW,$DorLib2D$00000228,-5550246.754213881,-9895402.446527437
INSERT,WINDOW,$DorLib2D$00000228,-5574275.164734082,-9833164.815305233
INSERT,WINDOW,$DorLib2D$00000228,-5574456.2087445,-9830561.101982635
INSERT,WINDOW,$DorLib2D$00000228,-5575131.225852499,-9820880.924598018
INSERT,WINDOW,$DorLib2D$00000228,-5575314.033335565,-9818187.120427877
INSERT,WINDOW,$DorLib2D$00000231,-5564358.374849081,-9900074.413616222
INSERT,WINDOW,$DorLib2D$00000228,-5570206.824775263,-9892267.787568524
INSERT,WINDOW,$DorLib2D$00000228,-5540132.213798844,-9828571.754501034
INSERT,WINDOW,$DorLib2D$00000228,-5546943.626467195,-9825436.659428707
INSERT,WINDOW,$DorLib2D$00000228,-5550235.243783563,-9908565.20694597
INSERT,WINDOW,$DorLib2D$00000228,-5541087.344825386,-9819910.477442729
INSERT,WINDOW,$DorLib2D$00000231,-5547227.98122443,-9821346.532004989
INSERT,WINDOW,$DorLib2D$00000228,-5544908.924144378,-9834517.385963694
INSERT,WINDOW,$DorLib2D$00000222,-5550813.078434296,-9690085.191992224
INSERT,WINDOW,$DorLib2D$00000222,-5552360.115203271,-9688379.788656661
INSERT,WINDOW,$DorLib2D$00000228,-5553016.387290608,-9692560.531616136
INSERT,WINDOW,$DorLib2D$00000228,-5552865.999860598,-9689207.150644328
INSERT,WINDOW,$DorLib2D$00000228,-5576792.127464805,-9696816.941925007
INSERT,WINDOW,$DorLib2D$00000228,-5574999.431362873,-9822776.34808171
