type,layer,x,y,text
TEXT,PUB_TEXT,-5556482.292475705,-9796389.31641119,钢套管
TEXT,PUB_TEXT,-5558190.47830581,-9769656.578110415,D159
TEXT,PUB_TEXT,-5558231.502638228,-9769082.515792968,钢套管
TEXT,PUB_TEXT,-5559826.534886366,-9742346.276977219,D159
TEXT,PUB_TEXT,-5559867.559218785,-9741772.214659773,钢套管
ATTRIB,WINDOW_TEXT,-5564864.688972395,-9895092.603386441,
ATTRIB,WINDOW_TEXT,-5569995.108459234,-9891791.116545674,
ATTRIB,WINDOW_TEXT,-5540304.452401654,-9828779.234442718,
ATTRIB,WINDOW_TEXT,-5546447.543724,-9825597.721449076,
ATTRIB,WINDOW_TEXT,-5550027.794149522,-9908737.482051067,
ATTRIB,WINDOW_TEXT,-5540933.059241682,-9819412.245547763,
TEXT,PUB_TEXT,-5542129.296744857,-9834113.723213848,动照电缆孔
TEXT,PUB_TEXT,-5541804.596936684,-9833943.606667418,800x500
TEXT,PUB_TEXT,-5539632.831258241,-9819175.357186965,100x200
TEXT,PUB_TEXT,-5539697.592303163,-9818269.141940161,过水孔
TEXT,PUB_TEXT,-5539305.726965039,-9819038.887117315,贴地布置
TEXT,PUB_TEXT,-5539365.603356939,-9818201.02387209,(
TEXT,PUB_TEXT,-5539372.221273936,-9818108.417934464,余同
TEXT,PUB_TEXT,-5539402.159469886,-9817689.486311854,)
TEXT,PUB_TEXT,-5536244.195819009,-9832907.724302897,贴底预留
TEXT,PUB_TEXT,-5536304.072210907,-9832069.861057677,100x200
TEXT,PUB_TEXT,-5536368.833255827,-9831163.645810871,过水孔
ATTRIB,WINDOW_TEXT,-5546731.898481239,-9821507.59402536,
TEXT,PUB_TEXT,-5548496.739305517,-9866368.87005512,%%c114
TEXT,PUB_TEXT,-5548536.750691458,-9865808.982115877,钢套管
TEXT,PUB_TEXT,-5548137.655057566,-9866343.208744309,离壁沟排水孔
ATTRIB,WINDOW_TEXT,-5544701.474510287,-9834689.661068727,
TEXT,PUB_TEXT,-5594590.938193634,-9813141.109990509,1%
TEXT,PUB_TEXT,-5602044.895520775,-9816140.848557058,-4.850(
TEXT,PUB_TEXT,-5602198.525736826,-9813991.067862085,变坡点
TEXT,PUB_TEXT,-5602310.793971634,-9812420.074277291,)
TEXT,PUB_TEXT,-5590393.057960918,-9814258.808822339,-4.960(
TEXT,PUB_TEXT,-5590546.688176971,-9812109.028127363,变坡点
TEXT,PUB_TEXT,-5590658.956411776,-9810538.034542572,)
TEXT,PUB_TEXT,-5600373.248479664,-9803733.0605933,集水坑
TEXT,PUB_TEXT,-5599424.396710313,-9806909.73869091,2000x1500x1500(H)
TEXT,PUB_TEXT,-5603286.976772001,-9811513.685783506,检修人孔
TEXT,PUB_TEXT,-5602568.808276096,-9811462.363161878,1300x700
TEXT,PUB_TEXT,-5610535.051552534,-9815486.454371706,电梯基坑
TEXT,PUB_TEXT,-5609600.904788372,-9818457.36216519,2400x2100x1600
TEXT,PUB_TEXT,-5609878.452123746,-9814573.582536024,（
TEXT,PUB_TEXT,-5609910.528762265,-9814124.727226083,H
TEXT,PUB_TEXT,-5609932.813584812,-9813812.890905492,）
TEXT,PUB_TEXT,-5550470.655534496,-9794619.030992711,挡烟垂壁
TEXT,PUB_TEXT,-5550091.192277051,-9795215.23118438,做法详见通用图
TEXT,PUB_TEXT,-5545639.550102375,-10084985.21902758,-4.918
TEXT,PUB_TEXT,-5535312.936514869,-10083396.84616495,-4.918
TEXT,PUB_TEXT,-5539904.66035095,-10041244.01899455,-4.833(11.890)
TEXT,PUB_TEXT,-5553347.261016618,-10042897.68300113,-4.833(11.890)
TEXT,PUB_TEXT,-5559890.194265212,-9909823.828444453,-4.766(11.890)
TEXT,PUB_TEXT,-5569363.31751438,-9872980.214289595,-4.842
TEXT,PUB_TEXT,-5554747.368518045,-9873495.463808177,-4.842
TEXT,PUB_TEXT,-5572744.610596612,-9825632.550459083,-4.933
TEXT,PUB_TEXT,-5556501.796414621,-9824503.138785921,-4.933
TEXT,PUB_TEXT,-5557800.294328183,-9822799.343652395,特级防火卷帘
TEXT,PUB_TEXT,-5559265.528285243,-9779120.783372279,-5.027(11.890)
TEXT,PUB_TEXT,-5575976.711543105,-9780282.762154579,-5.027(11.890)
TEXT,PUB_TEXT,-5582611.065809529,-9698598.602365715,-5.190(11.890)
TEXT,PUB_TEXT,-5565328.932988978,-9697363.565784886,-5.190(11.890)
TEXT,PUB_TEXT,-5566769.153147681,-9659186.683976896,-5.293(11.890)
TEXT,PUB_TEXT,-5586524.580342815,-9660598.470097777,-5.293(11.890)
TEXT,PUB_TEXT,-5532410.276370931,-10117154.47371701,-4.986
TEXT,PUB_TEXT,-5530493.004719723,-9674267.652468037,-5.234
TEXT,PUB_TEXT,-5535309.900919236,-9725594.241287632,-5.132
TEXT,PUB_TEXT,-5540667.383435199,-9701210.524878135,-5.171
TEXT,PUB_TEXT,-5571083.645946571,-9742459.342527698,挡烟垂壁
TEXT,PUB_TEXT,-5570704.182689127,-9743055.542719373,做法详见通用图
TEXT,PUB_TEXT,-5561965.899916145,-9769939.923954888,挡烟垂壁
TEXT,PUB_TEXT,-5561586.436658699,-9770536.124146557,做法详见通用图
TEXT,PUB_TEXT,-5564033.351783616,-9926472.479443454,(11.820)
TEXT,PUB_TEXT,-5565878.353902919,-9895592.732825706,(11.820)
TEXT,PUB_TEXT,-5551283.245561401,-9691918.753677182,上
TEXT,PUB_TEXT,-5550017.02637888,-9691082.821524229,下
TEXT,PUB_TEXT,-5551543.193097695,-9691593.871477595,(11.820)
ATTRIB,WINDOW_TEXT,-5550600.00933498,-9689727.262339678,
ATTRIB,WINDOW_TEXT,-5551828.961459791,-9689143.381494162,
ATTRIB,WINDOW_TEXT,-5552759.05933788,-9692729.821898065,
ATTRIB,WINDOW_TEXT,-5553054.343115956,-9688732.22334566,
TEXT,PUB_TEXT,-5550735.151641642,-9695580.396077208,(13.357)
ATTRIB,WINDOW_TEXT,-5576584.6778308,-9696989.217030145,
