type,layer,x,y,text
TEXT,PUB_TEXT,-5544928.59432346,-9749536.328894441,预埋
TEXT,PUB_TEXT,-5544957.713541402,-9749128.857407402,2
TEXT,PUB_TEXT,-5544969.933213216,-9748957.86490838,根
TEXT,PUB_TEXT,-5544984.492822188,-9748754.129164858,DN50
TEXT,PUB_TEXT,-5545035.204460224,-9748044.510293905,镀锌密闭钢套管
TEXT,PUB_TEXT,-5545137.12172303,-9746618.360089271,(
TEXT,PUB_TEXT,-5545145.6754933,-9746498.665339956,动照
TEXT,PUB_TEXT,-5545174.794711243,-9746091.193852917,)
TEXT,PUB_TEXT,-5544047.203575242,-9752026.986241842,预埋
TEXT,PUB_TEXT,-5544076.322793186,-9751619.514754802,2
TEXT,PUB_TEXT,-5544088.542465003,-9751448.522255776,根
