method,n,mean_exit_time_s,sd_exit_time_s,mean_congestion_time_s,total_congestion_person_s,mean_distance_m,mean_level_congestion_s,mean_stair_congestion_s,T50_s,T80_s,T90_s,T95_s,T99_s,T100_s
Improved A*,17905,435.49536163082934,302.9334871895757,311.26312622172577,5573166.275,131.8450670762357,297.0903755934097,14.17116029042167,346.575,695.2550000000001,873.455,1024.5449999999998,1296.6359999999997,1414.55
AA*,17905,396.0252066461882,274.051552630503,276.6138494833845,4952770.975,131.74067724099413,272.14583635855905,4.466135157777157,315.075,594.455,820.2500000000001,985.0949999999999,1189.2339999999997,1298.25
PF-LQ,17905,362.48032393186264,278.92356095647244,253.03183328679137,4530534.975,114.60206947779949,231.7879111979894,21.242331750907567,292.75,502.75,702.6850000000003,1034.1449999999995,1344.119,1458.45
