method,level,stair,distance,mean_exit,T100
Improved A*,297.0903755934097,14.17116029042167,131.8450670762357,435.49536163082934,1414.55
AA*,272.14583635855905,4.466135157777157,131.74067724099413,396.0252066461882,1298.25
Pathfinder Goto Any Exit,231.7879111979894,21.242331750907567,114.60206947779949,362.48032393186264,1458.45
