method,occupant_name,exit_time_s,congestion_time_total_s,distance_m
Pathfinder Goto Any Exit,57754,86.025,21.6,0
Pathfinder Goto Any Exit,57755,173.075,109.1,0
Pathfinder Goto Any Exit,57756,213.675,152.1,0
Pathfinder Goto Any Exit,57757,496.0,429.3,0
Pathfinder Goto Any Exit,57758,77.0,12.775,0
Pathfinder Goto Any Exit,57759,142.675,84.625,0
Pathfinder Goto Any Exit,57760,103.875,46.25,0
Pathfinder Goto Any Exit,57761,115.9,36.425,0
Pathfinder Goto Any Exit,57762,418.8,348.65,0
Pathfinder Goto Any Exit,57763,156.5,101.325,0
Pathfinder Goto Any Exit,57764,114.275,4.825,0
Pathfinder Goto Any Exit,57765,244.925,181.225,0
Pathfinder Goto Any Exit,57766,258.35,192.625,0
Pathfinder Goto Any Exit,57767,221.225,163.075,0
Pathfinder Goto Any Exit,57768,259.775,207.525,0
Pathfinder Goto Any Exit,57769,272.825,205.875,0
Pathfinder Goto Any Exit,57770,94.825,40.775,0
Pathfinder Goto Any Exit,57771,128.55,41.2,0
Pathfinder Goto Any Exit,57772,69.8,10.1,0
Pathfinder Goto Any Exit,57773,108.05,45.45,0
Pathfinder Goto Any Exit,57774,144.7,94.925,0
Pathfinder Goto Any Exit,57775,97.6,24.775,0
Pathfinder Goto Any Exit,57776,136.95,14.05,0
Pathfinder Goto Any Exit,57777,374.075,312.875,0
Pathfinder Goto Any Exit,57778,108.525,0.175,0
Pathfinder Goto Any Exit,57779,131.8,1.675,0
Pathfinder Goto Any Exit,57780,123.7,0.75,0
Pathfinder Goto Any Exit,57781,132.35,62.75,0
Pathfinder Goto Any Exit,57782,99.425,19.775,0
Pathfinder Goto Any Exit,57783,73.575,21.2,0
Pathfinder Goto Any Exit,57784,61.9,5.025,0
Pathfinder Goto Any Exit,57785,328.9,269.7,0
Pathfinder Goto Any Exit,57786,350.1,289.35,0
Pathfinder Goto Any Exit,57787,135.4,85.425,0
Pathfinder Goto Any Exit,57788,121.025,0.275,0
Pathfinder Goto Any Exit,57789,74.875,9.125,0
Pathfinder Goto Any Exit,57790,114.425,22.275,0
Pathfinder Goto Any Exit,57791,112.9,34.925,0
Pathfinder Goto Any Exit,57792,98.25,12.925,0
Pathfinder Goto Any Exit,57793,85.4,12.2,0
Pathfinder Goto Any Exit,57794,102.175,29.475,0
Pathfinder Goto Any Exit,57795,121.725,10.25,0
Pathfinder Goto Any Exit,57796,118.65,57.2,0
Pathfinder Goto Any Exit,57797,205.525,138.35,0
Pathfinder Goto Any Exit,57798,108.525,30.2,0
Pathfinder Goto Any Exit,57799,194.8,123.975,0
Pathfinder Goto Any Exit,57800,304.525,252.175,0
Pathfinder Goto Any Exit,57801,109.95,29.9,0
Pathfinder Goto Any Exit,57802,82.775,17.225,0
Pathfinder Goto Any Exit,57803,92.375,17.25,0
Pathfinder Goto Any Exit,57804,76.35,24.75,0
Pathfinder Goto Any Exit,57805,117.625,62.35,0
Pathfinder Goto Any Exit,57806,401.425,343.25,0
Pathfinder Goto Any Exit,57807,192.05,121.8,0
Pathfinder Goto Any Exit,57808,409.825,348.675,0
Pathfinder Goto Any Exit,57809,100.55,12.325,0
Pathfinder Goto Any Exit,57810,107.225,22.525,0
Pathfinder Goto Any Exit,57811,116.2,6.675,0
Pathfinder Goto Any Exit,57812,111.175,31.55,0
Pathfinder Goto Any Exit,57813,80.8,0.175,0
Pathfinder Goto Any Exit,57814,86.625,21.375,0
Pathfinder Goto Any Exit,57815,502.825,433.85,0
Pathfinder Goto Any Exit,57816,93.35,0.175,0
Pathfinder Goto Any Exit,57817,80.025,9.05,0
Pathfinder Goto Any Exit,57818,117.05,54.425,0
Pathfinder Goto Any Exit,57819,184.0,90.975,0
Pathfinder Goto Any Exit,57820,575.4,506.8,0
Pathfinder Goto Any Exit,57821,61.575,7.475,0
Pathfinder Goto Any Exit,57822,65.525,6.375,0
Pathfinder Goto Any Exit,57823,93.05,27.65,0
Pathfinder Goto Any Exit,57824,210.275,154.45,0
Pathfinder Goto Any Exit,57825,91.525,33.05,0
Pathfinder Goto Any Exit,57826,112.25,58.7,0
Pathfinder Goto Any Exit,57827,143.8,17.0,0
Pathfinder Goto Any Exit,57828,109.1,0.175,0
Pathfinder Goto Any Exit,57829,129.525,4.35,0
Pathfinder Goto Any Exit,57830,138.0,61.4,0
Pathfinder Goto Any Exit,57831,185.95,133.875,0
Pathfinder Goto Any Exit,57832,148.7,87.15,0
Pathfinder Goto Any Exit,57833,55.175,17.4,0
Pathfinder Goto Any Exit,57834,88.575,34.675,0
Pathfinder Goto Any Exit,57835,82.55,17.675,0
Pathfinder Goto Any Exit,57836,136.15,5.65,0
Pathfinder Goto Any Exit,57837,411.825,347.8,0
Pathfinder Goto Any Exit,57838,95.7,25.575,0
Pathfinder Goto Any Exit,57839,106.9,38.0,0
Pathfinder Goto Any Exit,57840,131.1,79.45,0
Pathfinder Goto Any Exit,57841,91.8,14.0,0
Pathfinder Goto Any Exit,57673,82.475,21.875,0
Pathfinder Goto Any Exit,57674,53.825,22.1,0
Pathfinder Goto Any Exit,57675,105.225,73.6,0
Pathfinder Goto Any Exit,57676,74.1,47.125,0
Pathfinder Goto Any Exit,57677,66.35,8.325,0
Pathfinder Goto Any Exit,57678,50.725,12.5,0
Pathfinder Goto Any Exit,57679,81.775,15.05,0
Pathfinder Goto Any Exit,57680,71.675,11.575,0
Pathfinder Goto Any Exit,57681,55.5,0.175,0
Pathfinder Goto Any Exit,57682,150.425,94.7,0
Pathfinder Goto Any Exit,57683,114.175,57.675,0
Pathfinder Goto Any Exit,57684,123.775,87.675,0
Pathfinder Goto Any Exit,57685,132.45,79.775,0
Pathfinder Goto Any Exit,57686,157.925,101.075,0
Pathfinder Goto Any Exit,57687,227.225,188.2,0
Pathfinder Goto Any Exit,57688,45.65,11.125,0
Pathfinder Goto Any Exit,57689,193.475,150.8,0
Pathfinder Goto Any Exit,57690,238.1,184.4,0
Pathfinder Goto Any Exit,57691,122.525,79.225,0
Pathfinder Goto Any Exit,57692,87.725,41.975,0
Pathfinder Goto Any Exit,57693,168.45,125.25,0
Pathfinder Goto Any Exit,57694,70.725,11.9,0
Pathfinder Goto Any Exit,57695,69.8,28.55,0
Pathfinder Goto Any Exit,57696,91.325,60.95,0
Pathfinder Goto Any Exit,57697,261.525,215.975,0
Pathfinder Goto Any Exit,57698,125.2,91.075,0
Pathfinder Goto Any Exit,57699,292.95,243.275,0
Pathfinder Goto Any Exit,57700,57.45,19.725,0
Pathfinder Goto Any Exit,57701,56.275,6.775,0
Pathfinder Goto Any Exit,57702,49.925,1.0,0
Pathfinder Goto Any Exit,57703,120.525,72.35,0
Pathfinder Goto Any Exit,57704,79.35,22.35,0
Pathfinder Goto Any Exit,57705,61.65,5.575,0
Pathfinder Goto Any Exit,57706,83.375,50.85,0
Pathfinder Goto Any Exit,57842,165.25,0.2,0
Pathfinder Goto Any Exit,57843,143.35,6.775,0
Pathfinder Goto Any Exit,57844,113.825,0.175,0
Pathfinder Goto Any Exit,57845,128.875,0.175,0
Pathfinder Goto Any Exit,57846,154.9,2.225,0
Pathfinder Goto Any Exit,57847,74.825,0.175,0
Pathfinder Goto Any Exit,57848,123.225,0.175,0
Pathfinder Goto Any Exit,57849,67.45,21.25,0
Pathfinder Goto Any Exit,57850,135.25,14.225,0
Pathfinder Goto Any Exit,57851,92.725,0.175,0
Pathfinder Goto Any Exit,57852,107.7,0.175,0
Pathfinder Goto Any Exit,57853,137.45,0.175,0
Pathfinder Goto Any Exit,57854,139.125,0.175,0
Pathfinder Goto Any Exit,57855,147.1,29.225,0
Pathfinder Goto Any Exit,57856,112.3,0.175,0
Pathfinder Goto Any Exit,57857,57.875,0.175,0
Pathfinder Goto Any Exit,57858,58.725,0.175,0
Pathfinder Goto Any Exit,57859,117.85,0.175,0
Pathfinder Goto Any Exit,57860,134.65,0.425,0
Pathfinder Goto Any Exit,57861,136.075,14.8,0
Pathfinder Goto Any Exit,57862,132.55,0.8,0
Pathfinder Goto Any Exit,57863,107.875,0.175,0
Pathfinder Goto Any Exit,57864,130.75,0.175,0
Pathfinder Goto Any Exit,57865,137.575,0.175,0
Pathfinder Goto Any Exit,57866,113.35,0.175,0
Pathfinder Goto Any Exit,57867,128.1,9.925,0
Pathfinder Goto Any Exit,57868,127.025,0.175,0
Pathfinder Goto Any Exit,57869,99.525,0.175,0
Pathfinder Goto Any Exit,57870,132.65,0.175,0
Pathfinder Goto Any Exit,57871,134.075,12.75,0
