variant,variant_cn,T50,T95,T100,平均时间,静止暴露,出口 Jain,设施 Jain,runtime_change_pct,T100_change_pct
No resource-queue waiting cost,去除资源队列等待代价,73.15175097276266,196.28796400449943,182.65139116202946,115.78680346683221,164.61702197763012,36.03339484780156,69.39677557609924,103.27768417218506,182.65139116202946
No arrival-time queue prediction,去除到达时刻队列预测,34.63035019455254,19.23509561304837,16.77577741407528,28.960466327884316,45.16372980148233,11.081712102512908,59.75483219418979,-11.71520438254855,16.77577741407528
No density-risk penalty,去除密度暴露代价,0.0,0.0,2.6186579378068675,0.07656725684486165,0.13888067680971616,-0.2718655088100208,0.0,5.273460280350539,2.6186579378068675
Single-label search,单标签搜索,0.0,0.0,2.3731587561374834,0.02053999890143654,-0.0015345931139165714,-0.43775236290470865,-0.04231863867927288,-9.341814209914235,2.3731587561374834
No spatial receiving wait,去除空间接纳等待,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5325754829613087,0.0
