load,method,n,mean,T95,T99,T100,stationary_s,distance_m,runtime_s
低负荷,Improved A*,2187,138.9236396890718,289.0,316.0,325.0,108228.0,213389.21533273236,7.989581400004681
低负荷,AA*,2187,135.771833561957,258.0,315.0,325.0,91853.0,221538.7053310596,10.85047510000004
高负荷,Improved A*,17905,438.850097738062,1125.0,1309.0,1486.0,6552858.0,1481120.5222349255,37.654190200031735
高负荷,AA*,17905,335.5370008377548,889.0,1097.0,1222.0,4431142.0,1710553.1129890922,615.2784147000057
