load,method,n,mean,T95,T100,mean_cong,mean_distance
低负荷,Improved A*,2187,117.58558527663466,254.62999999999994,319.0,9.449702789208962,120.69077366255145
低负荷,AA*,2187,120.80995656149977,254.62999999999994,319.0,9.176623228166438,124.65580338363056
低负荷,Pathfinder Goto Any Exit,2187,102.17045038866027,224.78749999999988,320.025,14.825594421582075,97.3297302240512
高负荷,Improved A*,17905,435.49536163082934,1024.5449999999998,1414.55,311.26312622172577,131.8450670762357
高负荷,AA*,17905,396.0252066461882,985.0949999999999,1298.25,276.6138494833845,131.74067724099413
高负荷,Pathfinder Goto Any Exit,17905,362.48032393186264,1034.1449999999995,1458.45,253.03183328679137,114.60206947779949
